Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Zona Uso ITBI;Data Inclusao Transacao
RUA LA PLATA 166 - APT 602 - SION - 30315-460 - BELO HORIZONTE - MG;SION;2021;2880;340,15;340,15;P5;0,02979;AP;RESIDENCIAL;3120000;ZA;01/11/2021
AVE ALPHONSUS DE GUIMARAES 265 - APT 303 - POMPEIA - 30270-020 - BELO HORIZONTE - MG;POMPEIA;2021;725,75;107,99;107,99;P3;0,04686;AP;RESIDENCIAL;355287,1;ZAP;01/11/2021
RUA ROMUALDO LOPES CANCADO 268 - APT 101 - CASTELO - 30840-460 - BELO HORIZONTE - MG;CASTELO;1996;421;90,85;90,85;P3;0,166666;AP;RESIDENCIAL;330878,43;ZAR2;01/11/2021
RUA VILA RICA 1919 - BLOCO 1 APT 102 - JARDIM MONTANHES - 30750-143 - BELO HORIZONTE - MG;JARDIM MONTANHES;1997;2419,25;61,49;61,49;P3;0,02086;AP;RESIDENCIAL;235075,04;ZAR2;01/11/2021
RUA THOMAZ NAVES 122 - CASA 1 - SANTA AMELIA - 31550-310 - BELO HORIZONTE - MG;SANTA AMELIA;1995;383,62;168,99;168,99;P3;0,522461;CA;RESIDENCIAL;790000;ZAR2;01/11/2021
RUA EUCLASIO 426 - BLOCO 3 APT 202 - SANTA EFIGENIA - 30260-220 - BELO HORIZONTE - MG;SANTA EFIGENIA;1997;966;60,57;60,57;P3;0,0312;AP;RESIDENCIAL;227435,51;ZA;01/11/2021
RUA JOSE CLETO 405 - APT 201 BLOCO 1 - SANTA CRUZ - 31155-290 - BELO HORIZONTE - MG;SANTA CRUZ;2002;2597;76,06;76,06;P3;0,013073;AP;RESIDENCIAL;250000;ZAP;01/11/2021
RUA CONSELHEIRO JOAQUIM CAETANO 172 - APT 701 - NOVA GRANADA - 30431-320 - BELO HORIZONTE - MG;NOVA GRANADA;2021;300;130,96;130,96;P4;0,12777;AP;RESIDENCIAL;597989,55;ZAP;01/11/2021
RUA DEPUTADO AUGUSTO GONCALVES 555 - APT 204 BLOCO B - SERRANO - 30882-660 - BELO HORIZONTE - MG;SERRANO;1992;13849;65,12;65,12;P2;0,004138;AP;RESIDENCIAL;167000;ZAP;01/11/2021
AVE PROFESSOR MARIO WERNECK 2850 - APT 401 - BURITIS - 30575-180 - BELO HORIZONTE - MG;BURITIS;1999;516;163,47;163,47;P3;0,0488;AP;RESIDENCIAL;390000;ZAR2;01/11/2021
RUA DOM PEDRITO 291 - CASA 3 - NOVA VISTA - 31070-080 - BELO HORIZONTE - MG;NOVA VISTA;1985;360;88;88;P2;0,16602;CA;RESIDENCIAL;222396,96;ZAP;01/11/2021
RUA CONSUL ROBERT LEVY 914 - SANTA LUCIA - 30350-710 - BELO HORIZONTE - MG;SANTA LUCIA;2014;450;338,75;338,75;P3;1;CA;RESIDENCIAL;2040000;ZAR1;01/11/2021
RUA RADIO 20 - APT 1104 BLOCO 02 - SERRA - 30240-210 - BELO HORIZONTE - MG;SERRA;2012;6608,77;125,89;125,89;P5;0,00677;AP;RESIDENCIAL;605000;ZA;01/11/2021
RUA DOUTOR JOAO MIRANDA 78 - APT 308 - DONA CLARA - 31260-380 - BELO HORIZONTE - MG;DONA CLARA;2002;720;76,78;76,78;P3;0,042008;AP;RESIDENCIAL;250000;ZAP;01/11/2021
RUA DOUTOR CINYRAS LADEIRA 11 - CASA 3 - HELIOPOLIS - 31741-525 - BELO HORIZONTE - MG;HELIOPOLIS;2009;450;80,7;80,7;P3;0,150738;CA;RESIDENCIAL;342000;ZAP;01/11/2021
RUA RADIO 20 - APT 1603 BLOCO 01 - SERRA - 30240-210 - BELO HORIZONTE - MG;SERRA;2012;6608,77;152,85;152,85;P5;0,00822;AP;RESIDENCIAL;755000;ZA;01/11/2021
