Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Zona Uso ITBI;Data Inclusao Transacao
AVE PRUDENTE DE MORAIS 621 - SANTO ANTONIO - 30350-143 - BELO HORIZONTE - MG;SANTO ANTONIO;1.979;1.020;24;24;P4;0;SL;NAO RESIDENCIAL;130.238,38;ZA;01/10/2021
RUA NITEROI 140 - APT 204 - SANTA EFIGENIA - 30240-400 - BELO HORIZONTE - MG;SANTA EFIGENIA;2.021;419;51,37;51,37;P3;0,07;AP;RESIDENCIAL;178.767,60;ZA;01/10/2021
AVE AFONSO PENA 3761 - APT 1003 PAVMTO 10 - SERRA - 30130-008 - BELO HORIZONTE - MG;SERRA;2.002;2.493,88;52,41;52,41;P4;0;AP;RESIDENCIAL;209.999,88;ZA;01/10/2021
RUA OSCAR TROMPOWSKY 1221 - APT 1001 - GUTIERREZ - 30441-123 - BELO HORIZONTE - MG;GUTIERREZ;1.982;706;121;121;P3;0,04;AP;RESIDENCIAL;300.000;ZA;01/10/2021
RUA LORENA 1050 - APT 201 - PADRE EUSTAQUIO - 30730-170 - BELO HORIZONTE - MG;PADRE EUSTAQUIO;1.991;405;117,31;117,31;P3;0,17;AP;RESIDENCIAL;306.179,10;ZA;01/10/2021
RUA ALMIRANTE ALEXANDRINO 700 - BLOCO A APT 3A - GUTIERREZ - 30441-082 - BELO HORIZONTE - MG;GUTIERREZ;1.971;2.623;55,96;55,96;P2;0,01;AP;RESIDENCIAL;317.189,92;ZA;01/10/2021
RUA DOM JOAQUIM SILVERIO 112 - APT 302 - CORACAO EUCARISTICO - 30535-620 - BELO HORIZONTE - MG;CORACAO EUCARISTICO;1.983;400;105;105;P3;0,17;AP;RESIDENCIAL;341.092,50;ZA;01/10/2021
RUA EURITA 20 - APT 502 - SANTA TEREZA - 31010-210 - BELO HORIZONTE - MG;SANTA TEREZA;1.982;424;104;104;P3;0,07;AP;RESIDENCIAL;372.000;ZA;01/10/2021
RUA XAVIER DE GOUVEIA 145 - APT 302 - GRAJAU - 30431-166 - BELO HORIZONTE - MG;GRAJAU;1.977;421;130,28;130,28;P3;0,14;AP;RESIDENCIAL;395.000;ZA;01/10/2021
RUA DONA NOEMI 71 - APT 402 - PADRE EUSTAQUIO - 30730-110 - BELO HORIZONTE - MG;PADRE EUSTAQUIO;2.011;564;105,02;105,02;P3;0,08;AP;RESIDENCIAL;426.651,55;ZA;01/10/2021
RUA CONTRIA 1463 - APT 101 - GRAJAU - 30431-245 - BELO HORIZONTE - MG;GRAJAU;1.999;1.081;142,36;142,36;P3;0,02;AP;RESIDENCIAL;430.000;ZA;01/10/2021
RUA CANAA 829 - APT 102 - GRAJAU - 30431-249 - BELO HORIZONTE - MG;GRAJAU;2.004;600;146,32;292,64;P3;0,08;AP;RESIDENCIAL;560.000;ZA;01/10/2021
RUA HERVAL 431 - APT 301 - SERRA - 30240-010 - BELO HORIZONTE - MG;SERRA;2.020;430;145,97;145,97;P4;0,12;AP;RESIDENCIAL;650.000;ZA;01/10/2021
RUA SANTA HELENA 75 - APT 301 - SERRA - 30220-240 - BELO HORIZONTE - MG;SERRA;1.988;675;305,84;305,84;P3;0,13;AP;RESIDENCIAL;900.000;ZA;01/10/2021
RUA ANITA GARIBALDI 124 - APT 102 - CORACAO DE JESUS - 30380-230 - BELO HORIZONTE - MG;CORACAO DE JESUS;1.978;1.068;224,54;224,54;P3;0,08;AP;RESIDENCIAL;900.000;ZA;01/10/2021
RUA RIO VERDE 199 - APT 801 - ANCHIETA - 30310-750 - BELO HORIZONTE - MG;ANCHIETA;2.001;500;300,06;300,06;P4;0,17;AP;RESIDENCIAL;1.480.000;ZA;01/10/2021
RUA DOUTOR ASTOLPHO VIEIRA DE REZENDE 32 - APT 1001 - SION - 30315-510 - BELO HORIZONTE - MG;SION;2.004;2.018,06;278,37;278,37;P5;0,04;AP;RESIDENCIAL;1.600.000;ZA;01/10/2021
RUA HERCULANO DE FREITAS 1566 - BARROCA - 30431-080 - BELO HORIZONTE - MG;BARROCA;1.980;674,7;744;744;P3;1;LJ;NAO RESIDENCIAL;2.779.267,20;ZA;01/10/2021
RUA NEVADA 19 - APT 103 - CALIFORNIA - 30855-120 - BELO HORIZONTE - MG;CALIFORNIA;1.981;395;61,21;61,21;P2;0,17;AP;RESIDENCIAL;150.000;ZAP;01/10/2021
RUA EMBAIXADOR JOSE APARECIDO 126 - APT 303 BLOCO 2 - PARQUE SAO PEDRO - 31610-244 - BELO HORIZONTE - MG;PARQUE SAO PEDRO;2.014;3.708,06;61,66;123,32;P3;0,01;AP;RESIDENCIAL;155.000;ZAP;01/10/2021
RUA LUCELIA 54 - APT 202 - PIRATININGA - 31573-130 - BELO HORIZONTE - MG;PIRATININGA;2.016;360;47,27;47,27;P3;0,11;AP;RESIDENCIAL;155.518,30;ZAP;01/10/2021
RUA JULIO DE CASTILHO 133 - APT 106 BLOCO 2 - CINQUENTENARIO - 30570-080 - BELO HORIZONTE - MG;CINQUENTENARIO;2.013;17.696,91;46,49;46,49;P3;0;AP;RESIDENCIAL;182.000;ZAP;01/10/2021
RUA MARIA AMELIA MELLO 1030 - APT 908 BLOCO 2 - SANTA HELENA - 30642-160 - BELO HORIZONTE - MG;SANTA HELENA;2.021;1.047,75;51,29;51,29;P4;0,01;AP;RESIDENCIAL;215.000;ZAP;01/10/2021
AVE PORTUGAL 5355 - APT 104 BLOCO 4 - ITAPOA - 31710-400 - BELO HORIZONTE - MG;ITAPOA;2.005;3.222;53,69;53,69;P3;0,01;AP;RESIDENCIAL;221.126,47;ZAP;01/10/2021
RUA DEMETRIO RIBEIRO 75 - APT 303 BLOCO 3 - VERA CRUZ - 30285-680 - BELO HORIZONTE - MG;VERA CRUZ;2.013;5.100,50;63,69;63,69;P3;0,01;AP;RESIDENCIAL;223.577,40;ZAP;01/10/2021
RUA VICENTINA DE SOUZA 522 - APT 304 - SAGRADA FAMILIA - 31030-240 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2.020;800;41,18;41,18;P3;0,05;AP;RESIDENCIAL;225.000;ZAP;01/10/2021
RUA CIPO 282 - BLOCO 8 APT 102 - GUARANI - 31840-000 - BELO HORIZONTE - MG;GUARANI;1.997;4.320;58,32;58,32;P1;0,01;AP;RESIDENCIAL;225.154,33;ZAP;01/10/2021
RUA RAUL SEIXAS 556 - APT 603 - MANACAS - 30840-710 - BELO HORIZONTE - MG;MANACAS;2.017;1.680;70,54;70,54;P3;0,02;AP;RESIDENCIAL;235.590,01;ZAP;01/10/2021
RUA CLELIA 557 - CASA 6 - SANTA MONICA - 31530-530 - BELO HORIZONTE - MG;SANTA MONICA;2.006;755,33;65,59;65,59;P3;0,13;CA;RESIDENCIAL;240.000;ZAP;01/10/2021
RUA EZIO MARIO TERENZI 93 - APT 2 - MINASLANDIA - 31812-080 - BELO HORIZONTE - MG;MINASLANDIA;1.991;360;89,94;89,94;P2;0,25;AP;RESIDENCIAL;250.000;ZAP;01/10/2021
RUA MAESTRO GEORGE MARINUZZI 271 - APT 303 - MANACAS - 30840-620 - BELO HORIZONTE - MG;MANACAS;2.005;420;78,34;78,34;P3;0,06;AP;RESIDENCIAL;260.000;ZAP;01/10/2021
AVE HERACLITO MOURAO DE MIRANDA 3303 - APT 203 BLOCO III - BANDEIRANTES - 31365-283 - BELO HORIZONTE - MG;BANDEIRANTES;2.011;6.032,91;74,77;74,77;P3;0,01;AP;RESIDENCIAL;265.000;ZAP;01/10/2021
RUA JURUA 242 - APT 202 - GRACA - 31140-020 - BELO HORIZONTE - MG;GRACA;1.978;616;77,72;77,72;P3;0,08;AP;RESIDENCIAL;266.679,09;ZAP;01/10/2021
RUA ENGENHEIRO ALFREDO CASTILHO 40 - APT 202 BLOCO 1 - FLORAMAR - 31742-069 - BELO HORIZONTE - MG;FLORAMAR;2.012;720;81,1;81,1;P3;0,05;AP;RESIDENCIAL;266.819;ZAP;01/10/2021
RUA MARTINICA 432 - APT 103 BLOCO 2 - SANTA BRANCA - 31565-400 - BELO HORIZONTE - MG;SANTA BRANCA;2.012;3.230;74,09;74,09;P4;0,01;AP;RESIDENCIAL;275.000;ZAP;01/10/2021
RUA SALDANHA DA GAMA 405 - APT 1 - COLEGIO BATISTA - 31110-210 - BELO HORIZONTE - MG;COLEGIO BATISTA;2.001;370;94,59;189,18;P3;0,1;AP;RESIDENCIAL;289.672,42;ZAP;01/10/2021
RUA POUSO ALEGRE 2455 - BLOCO 1 APT 901 - HORTO - 31015-025 - BELO HORIZONTE - MG;HORTO;2.001;2.170;74,3;74,3;P3;0,01;AP;RESIDENCIAL;310.000;ZAP;01/10/2021
RUA DOS GEOLOGOS 326 - APT 403 - MANACAS - 30840-000 - BELO HORIZONTE - MG;MANACAS;2.003;434;106,85;106,85;P3;0,1;AP;RESIDENCIAL;319.898,22;ZAP;01/10/2021
RUA ALOIZIO NOGUEIRA MACHADO 67 - APT 201 - PLANALTO - 31720-040 - BELO HORIZONTE - MG;PLANALTO;2.013;360;58,17;58,17;P3;0,14;AP;RESIDENCIAL;322.142,36;ZAP;01/10/2021
RUA IZABEL ALVES MARTINS 96 - APT 102 - CONJUNTO CELSO MACHADO - 30882-390 - BELO HORIZONTE - MG;CONJUNTO CELSO MACHADO;2.018;591,27;111,5;111,5;P3;0,06;AP;RESIDENCIAL;335.000;ZAP;01/10/2021
RUA PROFESSOR MASSANIELO SANTOS 113 - APT 202 - PLANALTO - 31720-180 - BELO HORIZONTE - MG;PLANALTO;2.020;360;58,05;58,05;P3;0,13;AP;RESIDENCIAL;340.000;ZAP;01/10/2021
RUA DO CARMELO 116 - APT 403 - SANTA MONICA - 31565-260 - BELO HORIZONTE - MG;SANTA MONICA;2.016;1.200;98,21;196,42;P3;0,03;AP;RESIDENCIAL;341.770,80;ZAP;01/10/2021
RUA PETRINA BROCHADO 54 - BAIRRO DAS INDUSTRIAS II - 30590-530 - BELO HORIZONTE - MG;BAIRRO DAS INDUSTRIAS II;0;321,61;0;0;TE;1;LV;TERRITORIAL;350.000;ZAP;01/10/2021
RUA RAUL SEIXAS 634 - APT 201 - MANACAS - 30840-710 - BELO HORIZONTE - MG;MANACAS;2.013;840;127,61;127,61;P3;0,06;AP;RESIDENCIAL;356.881,10;ZAP;01/10/2021
RUA JOAO GUALBERTO FILHO 705 - APT 402 - SAGRADA FAMILIA - 31035-570 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2.012;800;98,51;98,51;P3;0,03;AP;RESIDENCIAL;371.000;ZAP;01/10/2021
RUA RAMALHO ORTIGAO 577 - APT 102 - SANTA BRANCA - 31565-100 - BELO HORIZONTE - MG;SANTA BRANCA;2.021;720;66,98;66,98;P3;0,06;AP;RESIDENCIAL;375.000;ZAP;01/10/2021
RUA JULIO DINIZ 62 - APT 102 - SANTA BRANCA - 31565-180 - BELO HORIZONTE - MG;SANTA BRANCA;2.017;360;64,58;64,58;P3;0,15;AP;RESIDENCIAL;380.000;ZAP;01/10/2021
RUA JOSE MOURAO 85 - APT 201 - FERNAO DIAS - 31910-470 - BELO HORIZONTE - MG;FERNAO DIAS;2.000;360;121,67;121,67;P3;0,14;AP;RESIDENCIAL;380.000;ZAP;01/10/2021
RUA GERSON MORETHSON 340 - APT 101 - ITAPOA - 31710-520 - BELO HORIZONTE - MG;ITAPOA;2.013;360;124,6;373,8;P3;0,12;AP;RESIDENCIAL;395.575,38;ZAP;01/10/2021
RUA JEFFERSON 60 - APT 302 - UNIAO - 31170-690 - BELO HORIZONTE - MG;UNIAO;1.997;694,95;130,17;130,17;P3;0,08;AP;RESIDENCIAL;400.000;ZAP;01/10/2021
RUA JOAO BERNARDO MAGALHAES 299 - APT 102 - SANTA MONICA - 31525-230 - BELO HORIZONTE - MG;SANTA MONICA;2.015;360;105,42;105,42;P3;0,18;AP;RESIDENCIAL;412.000;ZAP;01/10/2021
RUA FREI MARTINHO BURNIER 721 - APT 902 - PAQUETA - 31340-290 - BELO HORIZONTE - MG;PAQUETA;2.016;1.791;135,28;135,28;P4;0,02;AP;RESIDENCIAL;424.938,18;ZAP;01/10/2021
RUA MARINGA 115 - ARAGUAIA - 30620-270 - BELO HORIZONTE - MG;ARAGUAIA;1.977;370;256,32;256,32;P2;1;CA;RESIDENCIAL;455.566,80;ZAP;01/10/2021
RUA CAMPINA VERDE 144 - APT 502 - SALGADO FILHO - 30550-340 - BELO HORIZONTE - MG;SALGADO FILHO;2.020;416;188,81;377,62;P3;0,13;AP;RESIDENCIAL;492.999,67;ZAP;01/10/2021
RUA DOS XETAS 50 - CASA 2 - SANTA MONICA - 31530-130 - BELO HORIZONTE - MG;SANTA MONICA;2.016;550;153,25;153,25;P3;0,28;CA;RESIDENCIAL;520.000;ZAP;01/10/2021
RUA MONSENHOR HORTA 292 - APT 102 - CALAFATE - 30411-298 - BELO HORIZONTE - MG;CALAFATE;2.015;299,76;124,86;124,86;P3;0,14;AP;RESIDENCIAL;530.000;ZAP;01/10/2021
RUA MARTINICA 115 - APT 504 BLOCO 2 - SANTA BRANCA - 31565-400 - BELO HORIZONTE - MG;SANTA BRANCA;2.010;1.497,50;118,05;118,05;P3;0,05;AP;RESIDENCIAL;535.000;ZAP;01/10/2021
RUA PLOMBAGINA 372 - APT 102 - COLEGIO BATISTA - 31110-090 - BELO HORIZONTE - MG;COLEGIO BATISTA;2.006;444;167,18;167,18;P3;0,12;AP;RESIDENCIAL;552.697,08;ZAP;01/10/2021
RUA JAPURA 47 - APT 202 - RENASCENCA - 31130-760 - BELO HORIZONTE - MG;RENASCENCA;2.016;325;164,78;164,78;P3;0,16;AP;RESIDENCIAL;573.434,40;ZAP;01/10/2021
RUA HELIANTO 239 - APT 703 - NOVA SUISSA - 30421-194 - BELO HORIZONTE - MG;NOVA SUISSA;2.021;528;124,73;124,73;P4;0,03;AP;RESIDENCIAL;579.000;ZAP;01/10/2021
RUA PLOMBAGINA 372 - APT 501 - COLEGIO BATISTA - 31110-090 - BELO HORIZONTE - MG;COLEGIO BATISTA;2.006;444;171,77;171,77;P3;0,13;AP;RESIDENCIAL;603.132,47;ZAP;01/10/2021
RUA RAMOS DE LIMA 30 - APT 402 - BOA VISTA - 31060-180 - BELO HORIZONTE - MG;BOA VISTA;2.013;360;166,54;166,54;P3;0,15;AP;RESIDENCIAL;605.000;ZAP;01/10/2021
RUA MINISTRO IVAN LINS 602 - APT 106 - DONA CLARA - 31260-020 - BELO HORIZONTE - MG;DONA CLARA;1.997;1.277,99;149,41;149,41;P3;0,09;AP;RESIDENCIAL;650.000;ZAP;01/10/2021
RUA CONDE RIBEIRO DO VALE 166 - APT 102 - SAGRADA FAMILIA - 31030-470 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2.009;400;183,04;183,04;P3;0,18;AP;RESIDENCIAL;700.000;ZAP;01/10/2021
RUA LORCA 59 - APT 801 - UNIAO - 31170-760 - BELO HORIZONTE - MG;UNIAO;2.017;598;219,93;219,93;P3;0,1;AP;RESIDENCIAL;790.000;ZAP;01/10/2021
RUA HELIA RICALDONI DE FREITAS 571 - SERRANO - 30882-650 - BELO HORIZONTE - MG;SERRANO;1.995;360;230,57;230,57;P4;1;CA;RESIDENCIAL;801.303,88;ZAP;01/10/2021
RUA APUCARANA 208 - APT 104 BLOCO 1 - OURO PRETO - 31310-520 - BELO HORIZONTE - MG;OURO PRETO;2.006;2.065,16;112,92;112,92;P3;0,04;AP;RESIDENCIAL;480.000;ZAR1;01/10/2021
RUA DOS FERROVIARIOS 164 - APT 209 - HORTO FLORESTAL - 31035-150 - BELO HORIZONTE - MG;HORTO FLORESTAL;1.999;422;23,63;47,26;P2;0,05;AP;RESIDENCIAL;77.000;ZAR2;01/10/2021
RUA FUED MANSUR KFURI 233 - BLOCO 1 APT 202 - DOM SILVERIO - 31985-250 - BELO HORIZONTE - MG;DOM SILVERIO;2.003;7.202,81;48,78;48,78;P2;0,01;AP;RESIDENCIAL;125.345,09;ZAR2;01/10/2021
AVE MIGUEL MOYSES 282 - BLOCO B2 APT 103 - NOVA GAMELEIRA - 30510-190 - BELO HORIZONTE - MG;NOVA GAMELEIRA;1.979;12.476,75;52,51;52,51;P2;0,01;AP;RESIDENCIAL;132.128,30;ZAR2;01/10/2021
RUA CANDIDO DE SOUZA 1824 - BLOCO II APT 306 - NOVA GAMELEIRA - 30510-070 - BELO HORIZONTE - MG;NOVA GAMELEIRA;1.996;8.459,58;55,54;55,54;P2;0,01;AP;RESIDENCIAL;139.450;ZAR2;01/10/2021
RUA JOAQUIM GONCALVES PIMENTA 475 - BLOCO 22 APT 101 - CAMARGOS - 30520-450 - BELO HORIZONTE - MG;CAMARGOS;1.994;9.360;49,58;49,58;P2;0;AP;RESIDENCIAL;140.738,01;ZAR2;01/10/2021
RUA SERRA GERAL 80 - APT 202 BLOCO A31 6 - RIBEIRO DE ABREU - 31872-390 - BELO HORIZONTE - MG;RIBEIRO DE ABREU;1.981;116.771;76;76;P2;0;AP;RESIDENCIAL;147.715,64;ZAR2;01/10/2021
RUA NORMA GUILHERMINA DA SILVA 334 - APT 234 BLOCO 9 - JARDIM GUANABARA - 31742-299 - BELO HORIZONTE - MG;JARDIM GUANABARA;2.000;4.847,47;42,31;42,31;P2;0,01;AP;RESIDENCIAL;149.950,88;ZAR2;01/10/2021
RUA EMILIO RICCALDONI 32 - BLOCO III APT 101 - JOAO PINHEIRO - 30530-210 - BELO HORIZONTE - MG;JOAO PINHEIRO;1.999;1.552,88;54,1;54,1;P3;0,02;AP;RESIDENCIAL;160.000;ZAR2;01/10/2021
RUA DOS BORGES 1050 - APT 402 BLOCO 3 - JARDIM VITORIA - 31975-270 - BELO HORIZONTE - MG;JARDIM VITORIA;2.021;8.304,94;53,35;53,35;P3;0,01;AP;RESIDENCIAL;175.521,50;ZAR2;01/10/2021
RUA DOS BORGES 1050 - APT 104 BLOCO 4 - JARDIM VITORIA - 31975-270 - BELO HORIZONTE - MG;JARDIM VITORIA;2.021;8.304,94;53,81;53,81;P3;0,01;AP;RESIDENCIAL;177.034,90;ZAR2;01/10/2021
RUA ANTONIO CARVALHO 105 - APT 306 BLOCO 1 - JULIANA - 31744-551 - BELO HORIZONTE - MG;JULIANA;2.020;10.705,56;65,22;65,22;P3;0;AP;RESIDENCIAL;192.000;ZAR2;01/10/2021
RUA ANTONIO CARVALHO 105 - APT 1002 BLOCO 1 - JULIANA - 31744-551 - BELO HORIZONTE - MG;JULIANA;2.020;10.705,56;65,22;65,22;P3;0;AP;RESIDENCIAL;206.364,90;ZAR2;01/10/2021
RUA DOS BORGES 990 - APT 102 BLOCO 6 - JARDIM VITORIA - 31975-270 - BELO HORIZONTE - MG;JARDIM VITORIA;2.020;18.932,82;66,6;66,6;P3;0;AP;RESIDENCIAL;219.114;ZAR2;01/10/2021
RUA ELSON NUNES DE SOUZA 121 - APT 304 - CASTELO - 30840-530 - BELO HORIZONTE - MG;CASTELO;2.000;420;76,54;76,54;P3;0,08;AP;RESIDENCIAL;220.000;ZAR2;01/10/2021
RUA DESEMBARGADOR JOSE SATYRO 531 - APT 102 - CASTELO - 30840-490 - BELO HORIZONTE - MG;CASTELO;2.001;420;65,84;65,84;P3;0,09;AP;RESIDENCIAL;225.000;ZAR2;01/10/2021
RUA DOUTOR HELVECIO ARANTES 251 - BLOCO 3 APT 401 - LUXEMBURGO - 30380-465 - BELO HORIZONTE - MG;LUXEMBURGO;1.989;2.304;87,05;87,05;P3;0,03;AP;RESIDENCIAL;230.000;ZAR2;01/10/2021
RUA DOM SEBASTIAO LEME 625 - APT 201 - COPACABANA - 31540-530 - BELO HORIZONTE - MG;COPACABANA;2.019;2.520;65,78;65,78;P3;0,02;AP;RESIDENCIAL;238.057,82;ZAR2;01/10/2021
RUA DAS PEROLAS 140 - APT 308 BLOCO 1 - SANTA MARIA - 30525-500 - BELO HORIZONTE - MG;SANTA MARIA;2.021;11.084,74;50,1;50,1;P4;0;AP;RESIDENCIAL;243.237,65;ZAR2;01/10/2021
RUA DAS PEROLAS 140 - APT 1304 BLOCO 1 - SANTA MARIA - 30525-500 - BELO HORIZONTE - MG;SANTA MARIA;2.021;11.084,74;53,84;53,84;P4;0;AP;RESIDENCIAL;255.875;ZAR2;01/10/2021
RUA MAE D AGUA 272 - APT 302 - SAO GABRIEL - 31980-410 - BELO HORIZONTE - MG;SAO GABRIEL;2.014;428,22;96,85;96,85;P3;0,14;AP;RESIDENCIAL;263.880,09;ZAR2;01/10/2021
RUA GENTIL PORTUGAL DO BRASIL 55 - APT 503 BLOCO 14 - CAMARGOS - 30520-540 - BELO HORIZONTE - MG;CAMARGOS;2.013;59.833,10;82,02;82,02;P3;0;AP;RESIDENCIAL;273.931,27;ZAR2;01/10/2021
AVE SENADOR JOSE AUGUSTO 80 - APT 703 BLOCO 1 - BURITIS - 30575-847 - BELO HORIZONTE - MG;BURITIS;2.012;10.609,40;67,19;67,19;P3;0;AP;RESIDENCIAL;290.000;ZAR2;01/10/2021
RUA DO PASSARO PRETO 284 - CASA 3 - ALTO CAICARAS - 30750-590 - BELO HORIZONTE - MG;ALTO CAICARAS;1.982;360;93;93;P3;0,25;AP;RESIDENCIAL;320.000;ZAR2;01/10/2021
RUA CARLOS SA 190 - APT 101 - SANTA AMELIA - 31550-200 - BELO HORIZONTE - MG;SANTA AMELIA;2.000;372;132,61;132,61;P3;0,23;AP;RESIDENCIAL;333.000;ZAR2;01/10/2021
RUA RIO BONITO 103 - PILAR - 30390-250 - BELO HORIZONTE - MG;PILAR;1.991;360;357;357;P2;1;GP;NAO RESIDENCIAL;350.000;ZAR2;01/10/2021
RUA DESEMBARGADOR PAULO MOTA 109 - APT 201 - OURO PRETO - 31310-340 - BELO HORIZONTE - MG;OURO PRETO;1.997;394;116,96;116,96;P3;0,15;AP;RESIDENCIAL;415.000;ZAR2;01/10/2021
RUA TAQUARI 223 - APT 502 - CONCORDIA - 31130-370 - BELO HORIZONTE - MG;CONCORDIA;2.021;467,8;143,9;143,9;P3;0,16;AP;RESIDENCIAL;473.431;ZAR2;01/10/2021
RUA GENERAL PATTON 97 - CASA 03 - SANTA AMELIA - 31555-420 - BELO HORIZONTE - MG;SANTA AMELIA;2.019;375;101,37;101,37;P2;0,33;CA;RESIDENCIAL;505.000;ZAR2;01/10/2021
AVE AGGEO PIO SOBRINHO 267 - APT 301 - BURITIS - 30575-834 - BELO HORIZONTE - MG;BURITIS;2.016;999,34;172,87;172,87;P4;0,04;AP;RESIDENCIAL;520.000;ZAR2;01/10/2021
RUA CASTELO MONTALVAO 186 - APT 701 - CASTELO - 31330-150 - BELO HORIZONTE - MG;CASTELO;2.018;1.096;199,48;199,48;P4;0,05;AP;RESIDENCIAL;590.000;ZAR2;01/10/2021
RUA PROFESSOR TRISTAO DA CUNHA 432 - CASA 1 - PLANALTO - 31720-520 - BELO HORIZONTE - MG;PLANALTO;2.007;360,61;112,76;112,76;P2;0,5;CA;RESIDENCIAL;605.000;ZAR2;01/10/2021
RUA VILA DA BARRA 235 - APT 102 - BARREIRO - 30640-450 - BELO HORIZONTE - MG;BARREIRO;2.004;360;153,52;153,52;P3;0,14;AP;RESIDENCIAL;491.509,63;ZCBA;01/10/2021
RUA PARACATU 838 - SALA 307 - BARRO PRETO - 30180-091 - BELO HORIZONTE - MG;BARRO PRETO;1.979;528;40;40;P3;0,02;SL;NAO RESIDENCIAL;256.132,80;ZCBH;01/10/2021
RUA CURITIBA 1726 - APT 901 - LOURDES - 30170-122 - BELO HORIZONTE - MG;LOURDES;2.006;600;159,71;159,71;P4;0,04;AP;RESIDENCIAL;850.000;ZCBH;01/10/2021
RUA FERNANDES TOURINHO 569 - APT 507 - SAVASSI - 30112-002 - BELO HORIZONTE - MG;SAVASSI;2.020;1.440;119,01;119,01;P5;0,01;AP;RESIDENCIAL;1.010.000;ZCBH;01/10/2021
RUA DOS TIMBIRAS 100 - APT 601 - FUNCIONARIOS - 30140-060 - BELO HORIZONTE - MG;FUNCIONARIOS;2.020;1.254,42;148,35;148,35;P4;0,02;AP;RESIDENCIAL;1.010.000;ZCBH;01/10/2021
RUA SAO PAULO 1640 - LOJA 2 - LOURDES - 30170-132 - BELO HORIZONTE - MG;LOURDES;1.997;600;115,95;115,95;P3;0,03;LJ;NAO RESIDENCIAL;1.100.000;ZCBH;01/10/2021
AVE WARLEY APARECIDO MARTINS 971 - APT 407 BLOCO 2 - SOLAR DO BARREIRO - 30670-370 - BELO HORIZONTE - MG;SOLAR DO BARREIRO;2.009;14.978,15;46,04;46,04;P2;0;AP;RESIDENCIAL;125.000;ZE;01/10/2021
PCA ELLEN GOULD WHITE 43 - APT 401 BLOCO 5 - SOLAR DO BARREIRO - 30671-005 - BELO HORIZONTE - MG;SOLAR DO BARREIRO;2.008;14.977,87;47;47;P2;0;AP;RESIDENCIAL;131.750,40;ZE;01/10/2021
AVE AUGUSTO DE LIMA 233 - BLOCO 3 APT 2908 - CENTRO - 30190-000 - BELO HORIZONTE - MG;CENTRO;1.967;4.426;58,07;58,07;P2;0;AP;RESIDENCIAL;270.000;ZHIP;01/10/2021
AVE DO CONTORNO 11050 - LOJA 2 - CENTRO - 30110-076 - BELO HORIZONTE - MG;CENTRO;1.996;2.092;154,88;154,88;P4;0,01;LJ;NAO RESIDENCIAL;783.692,80;ZHIP;01/10/2021
RUA DESEMBARGADOR PAULO MOTA 945 - BLOCO 1 APT 802 - ENGENHO NOGUEIRA - 31320-000 - BELO HORIZONTE - MG;ENGENHO NOGUEIRA;2.002;7.287;296,19;296,19;P4;0,02;AP;RESIDENCIAL;1.210.000;ZP1;01/10/2021
RUA TORONTO 221 - TREVO - 31370-190 - BELO HORIZONTE - MG;TREVO;0;360;0;0;TE;1;LV;TERRITORIAL;300.000;ZP2;01/10/2021
RUA PIEMONTE 630 - BANDEIRANTES - 31340-580 - BELO HORIZONTE - MG;BANDEIRANTES;1.981;1.080;601,3;601,3;P4;1;CA;RESIDENCIAL;2.500.000;ZP2;01/10/2021
RUA ALOYSIO LEITE GUIMARAES 335 - BELVEDERE - 30320-520 - BELO HORIZONTE - MG;BELVEDERE;2.007;1.050;470,41;470,41;P4;1;CA;RESIDENCIAL;3.020.000;ZP2;01/10/2021
RUA PROFESSOR RAIMUNDO CANDIDO 130 - APT 301 - BELVEDERE - 30320-650 - BELO HORIZONTE - MG;BELVEDERE;2.001;2.112;235,3;235,3;P4;0,03;AP;RESIDENCIAL;2.000.000;ZP3;01/10/2021
RUA CASTELO DE TORDESILHAS 130 - APT 302 - CASTELO - 31330-230 - BELO HORIZONTE - MG;CASTELO;2.013;840;234,02;234,02;P4;0,06;AP;RESIDENCIAL;1.015.000;ZAR2;03/10/2021
AVE DO CONTORNO 6313 - GARAGE 7 SUBSL - SAO PEDRO - 30110-039 - BELO HORIZONTE - MG;SAO PEDRO;1.984;638;40,32;80,64;P3;0,01;VC;NAO RESIDENCIAL;43.205,92;ZA;04/10/2021
AVE DO CONTORNO 6313 - GARAGE 8 SUBSL - SAO PEDRO - 30110-039 - BELO HORIZONTE - MG;SAO PEDRO;1.984;638;40,32;80,64;P3;0,01;VC;NAO RESIDENCIAL;43.205,92;ZA;04/10/2021
AVE DO CONTORNO 6321 - GARAGE 13 2 ANDAR - SAO PEDRO - 30110-933 - BELO HORIZONTE - MG;SAO PEDRO;1.984;638;44,62;89,24;P3;0,01;VC;NAO RESIDENCIAL;45.747,45;ZA;04/10/2021
