Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Zona Uso ITBI;Data Inclusao Transacao
RUA FREI GONZAGA 313 - COMITECO - 30315-170 - BELO HORIZONTE - MG;COMITECO;1.983;1.224;639;639;P5;1;CA;RESIDENCIAL;3.016.521;ZP2;06/10/2021
RUA PAULO AFONSO 502 - GARAGE 38 - SANTO ANTONIO - 30350-060 - BELO HORIZONTE - MG;SANTO ANTONIO;2.021;660;7,8;7,8;P4;0;VR;RESIDENCIAL;40.000;ZA;07/10/2021
RUA PAULO AFONSO 502 - GARAGE 24/32 - SANTO ANTONIO - 30350-060 - BELO HORIZONTE - MG;SANTO ANTONIO;2.021;660;15,29;15,29;P4;0,01;VR;RESIDENCIAL;64.982,50;ZA;07/10/2021
RUA MONTE ALEGRE 330 - SALA 01 - SERRA - 30240-230 - BELO HORIZONTE - MG;SERRA;2.013;300;41,01;123,03;P4;0,13;SL;NAO RESIDENCIAL;164.860,20;ZA;07/10/2021
RUA KATIA TEODORO DE AGUIAR 70 - BLOCO 5 APT 404 - PADRE EUSTAQUIO - 30730-250 - BELO HORIZONTE - MG;PADRE EUSTAQUIO;1.996;4.374;81,77;81,77;P3;0,01;AP;RESIDENCIAL;295.000;ZA;07/10/2021
RUA PAULO NUNES VIEIRA 64 - APT 201 - CIDADE NOVA - 31170-050 - BELO HORIZONTE - MG;CIDADE NOVA;1.980;360;120;120;P3;0,17;AP;RESIDENCIAL;325.000;ZA;07/10/2021
RUA PAULO SIMONI 143 - APT 104 STO ANTONIO - SANTO ANTONIO - 30330-190 - BELO HORIZONTE - MG;SANTO ANTONIO;1.961;720;95;95;P2;0,07;AP;RESIDENCIAL;350.000;ZA;07/10/2021
RUA PADRE DEMERVAL GOMES 127 - APT 201 - CORACAO EUCARISTICO - 30535-470 - BELO HORIZONTE - MG;CORACAO EUCARISTICO;1.999;500;98,54;98,54;P3;0,08;AP;RESIDENCIAL;350.000;ZA;07/10/2021
RUA GENTIOS 338 - APT 101 - CORACAO DE JESUS - 30380-490 - BELO HORIZONTE - MG;CORACAO DE JESUS;1.985;378;135;135;P3;0,17;AP;RESIDENCIAL;400.000;ZA;07/10/2021
RUA PROFESSOR ANIBAL MATTOS 45 - APT 101 - SANTO ANTONIO - 30350-220 - BELO HORIZONTE - MG;SANTO ANTONIO;1.985;360;145,49;145,49;P3;0,17;AP;RESIDENCIAL;410.000;ZA;07/10/2021
