name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified
Mirante do Vale,45,built,1960,"Avenida Prestes Maia, 241",Sao Paulo SP Brazil,http://www.mirantedovale.com.br/,558,https://skyscraperpage.com/cities?buildingID=1537,558,NA,NA,"c(""Building Uses"", ""- office"", ""- observation"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- international"", ""- modern"", ""Materials"", ""- glass"", ""- concrete, reinforced"", ""- concrete"")",0,1,0,0,Office
Edificio Italia,46,built,1965,Av. Ipiranga 344 República BR-01046-010 Centre,Sao Paulo SP Brazil,,541,https://skyscraperpage.com/cities?buildingID=1527,541,NA,NA,"c(""Building Uses"", ""- office"", ""- communication"", ""- residential"", ""- restaurant"", ""- retail"", ""- theatre"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- concrete"")",1,1,0,0,Mixed Use
Edifício Altino Arantes,36,built,1947,"Rua João Brícola, 24 x Rua Boa Vista BR-01014-010 Centre",Sao Paulo SP Brazil,,528,https://skyscraperpage.com/cities?buildingID=708,528,NA,NA,"c(""Building Uses"", ""- office"", ""- museum"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- art deco"", ""Materials"", ""- glass"", ""- steel"", ""- wood"", ""- marble"", ""- stucco"", ""- concrete, reinforced"", ""- concrete"")",0,1,0,0,Office
Parque Cidade Jardim,41,built,2010,"Rua Armando Petrella, Morumbi Zona Sul",Sao Paulo SP Brazil,http://www.parquecidadejardim....,518,https://skyscraperpage.com/cities?buildingID=84663,518,NA,NA,"c(""Building Uses"", ""- mixed use"", ""- garden"", ""- office"", ""- parking garage"", ""- residential"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""- mall"", ""Architectural Style"", ""- neo-classical"", ""- postmodern"", ""Materials"", ""- steel"", ""- stone"", ""- aluminium"", ""- marble"", ""- granite"", ""- stucco"", ""- concrete (plain)"", ""- concrete, reinforced"")",1,1,0,0,Mixed Use
CENU Torre Norte,34,built,1999,"Avenida das Nações Unidas, 12901 - Brooklin Novo",Sao Paulo SP Brazil,,518,https://skyscraperpage.com/cities?buildingID=1528,518,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Josephine Baker,43,built,2014,Sao Paulo SP Brazil,,NA,492,https://skyscraperpage.com/cities?buildingID=42959,492,NA,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
EZ Towers - Tower B,32,built,2014,Sao Paulo SP Brazil,,NA,492,https://skyscraperpage.com/cities?buildingID=15497,492,NA,NA,"c(""Building Uses"", ""- office"", ""- conference"", ""- parking garage"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
EZ Towers - Tower A,32,built,2014,Sao Paulo SP Brazil,,NA,492,https://skyscraperpage.com/cities?buildingID=52366,492,NA,NA,"c(""Building Uses"", ""- office"", ""- conference"", ""- parking garage"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
Birmann 21,26,built,1996,Av.das Nações Unidas 7221 Pinheiros BR-05425-902 Zona Oeste,Sao Paulo SP Brazil,,489,https://skyscraperpage.com/cities?buildingID=1662,489,400,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
e-Tower,37,built,2005,Rua Funchal 418 Vila Olímpia BR-04551-060 Zona Sul,Sao Paulo SP Brazil,,487,https://skyscraperpage.com/cities?buildingID=7888,487,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""- restaurant"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""- atrium"", ""- landing pad"", ""- pole"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete"")",0,1,0,0,Office
Eco Berrini,35,built,2011,"Av. Eng°. Luiz Carlos Berrini, Cidade Monções BR-04575-010 Zona Sul",Sao Paulo SP Brazil,,479,https://skyscraperpage.com/cities?buildingID=73208,479,NA,NA,"c(""Building Uses"", ""- office"", ""- observation"", ""- parking garage"", ""- restaurant"", ""Structural Types"", ""- highrise"", ""- hole"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Itaú Fidelité Marginal Pinheiros,30,built,2002,"Avenida Doutor Chucri Zaidan, 246 - Brooklin Novo",Sao Paulo SP Brazil,,476,https://skyscraperpage.com/cities?buildingID=1556,476,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""- retail"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Emiliano Anália Franco,41,built,2013,"Rua Nagib Izar, 258 - Vila Formosa",Sao Paulo SP Brazil,https://porte.com.br/empreendi...,469,https://skyscraperpage.com/cities?buildingID=108166,469,NA,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""- fitness center"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Edifício do Banco do Brasil,24,built,1955,"Rua São Bento, 465",Sao Paulo SP Brazil,,469,https://skyscraperpage.com/cities?buildingID=1667,469,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- limestone"", ""- concrete, reinforced"")",0,1,0,0,Office
Inhambú,40,built,2010,Rua Inhambú,Sao Paulo SP Brazil,,463,https://skyscraperpage.com/cities?buildingID=10983,463,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"", ""- brick"", ""- sandstone"")",1,0,0,0,Residential
Canário,40,built,2010,"Rua Canário, 130",Sao Paulo SP Brazil,,463,https://skyscraperpage.com/cities?buildingID=10988,463,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"", ""- brick"", ""- sandstone"")",1,0,0,0,Residential
Eldorado Business Tower,34,built,2007,Avenida das Nações Unidas 8501,Sao Paulo SP Brazil,http://www.eldoradobusinesstow...,462,https://skyscraperpage.com/cities?buildingID=11082,462,435,23,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete, reinforced"")",0,1,0,0,Office
Edificio Copan,40,built,1966,"Av. Ipiranga 200 x Rua Araújo, República BR-01046-925 Centre",Sao Paulo SP Brazil,http://www.copansp.com.br/,459,https://skyscraperpage.com/cities?buildingID=1526,459,NA,NA,"c(""Building Uses"", ""- residential"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- concrete, reinforced"", ""- concrete"")",1,0,0,0,Residential
Marginal Pinheiros Torre A,38,built,2016,Sao Paulo SP Brazil,,NA,459,https://skyscraperpage.com/cities?buildingID=15459,459,NA,NA,"c(""Building Uses"", ""- residential"", ""- garden"", ""- parking garage"", ""- restaurant"", ""- retail"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
WTorre Morumbi,34,built,2015,Morumbi,Sao Paulo SP Brazil,,459,https://skyscraperpage.com/cities?buildingID=4837,459,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- hole"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Marginal Pinheiros Torre B,31,built,2016,Sao Paulo SP Brazil,,NA,459,https://skyscraperpage.com/cities?buildingID=51757,459,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""- retail"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Plaza Centenário,34,built,1995,Avenida das Nações Unidas 12995,Sao Paulo SP Brazil,,456,https://skyscraperpage.com/cities?buildingID=1555,456,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete, reinforced"")",0,1,0,0,Office
Berrini 1,34,built,2014,Av. Eng. Luis Carlos Berrini & Av. dos Bandeirantes,Sao Paulo SP Brazil,,456,https://skyscraperpage.com/cities?buildingID=423,456,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
São Paulo Corporate Tower B,33,built,2015,Sao Paulo SP Brazil,,NA,456,https://skyscraperpage.com/cities?buildingID=14589,456,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
São Paulo Corporate Tower A,33,built,2015,Sao Paulo SP Brazil,,NA,456,https://skyscraperpage.com/cities?buildingID=2232,456,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Nova York Penthouses,32,built,2015,"Rua Nova York, 185 - Brooklin",Sao Paulo SP Brazil,http://novayorkpenthouses.com.br/,NA,https://skyscraperpage.com/cities?buildingID=33001,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential
Capital Building,31,built,2011,Rua Armando Petrella 431,Sao Paulo SP Brazil,http://www.parquecidadejardim....,456,https://skyscraperpage.com/cities?buildingID=84673,456,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"")",0,1,0,0,Office
Katherine Mansfield,39,built,2013,"Rua Cândido Lacerda, 231 - Vila Formosa",Sao Paulo SP Brazil,https://porte.com.br/empreendi...,454,https://skyscraperpage.com/cities?buildingID=110839,454,NA,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential
Mandarim,42,built,2006,"Rua Sansão Alves do Santos, 343 - Itaim Bibi",Sao Paulo SP Brazil,,449,https://skyscraperpage.com/cities?buildingID=11084,449,433,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- granite"", ""- stucco"", ""- concrete, reinforced"")",1,0,0,0,Residential
Brookfield Towers - Torre Sigma,35,built,2017,"R. Doutor Rubens Gomes Bueno 647, Várzea de Baixo",Sao Paulo SP Brazil,,449,https://skyscraperpage.com/cities?buildingID=82358,449,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- carbon-fibre"", ""- concrete, reinforced"")",0,1,0,0,Office
Brookfield Towers - Torre Alpha,35,built,2017,"R. Doutor Rubens Gomes Bueno 647, Várzea de Baixo",Sao Paulo SP Brazil,,449,https://skyscraperpage.com/cities?buildingID=82359,449,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- carbon-fibre"", ""- concrete, reinforced"")",0,1,0,0,Office
Torre São Paulo I,35,built,2009,Av. Presidente Juscelino Kubitschek 2041 Vila Olímpia BR-04543-906,Sao Paulo SP Brazil,http://www.wtorrejk.com.br/,447,https://skyscraperpage.com/cities?buildingID=64441,447,443,425,"c(""Building Uses"", ""- office"", ""- restaurant"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- international"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
TEK Nações Unidas,33,built,2013,Sao Paulo SP Brazil,,NA,NA,https://skyscraperpage.com/cities?buildingID=33153,NA,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Continental Tower,30,built,2012,Rua Armando Petrella 431,Sao Paulo SP Brazil,http://www.parquecidadejardim....,NA,https://skyscraperpage.com/cities?buildingID=84674,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"")",0,1,0,0,Office
RochaVerá Plaza Torre C,32,built,2011,"Avenida das Nações Unidas, 14171 - Santo Amaro",Sao Paulo SP Brazil,,439,https://skyscraperpage.com/cities?buildingID=27862,439,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Hospital Sírio-Libanês,27,built,2015,Rua Professor Daher Cutait - Bela Vista,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=108241,NA,NA,NA,"c(""Building Uses"", ""- hospital"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"")",0,0,0,1,Other
106 Seridó Torre 2,36,built,2012,"Rua Seridó, 106 - Pinheiros",Sao Paulo SP Brazil,http://construtorasaojose.com/...,439,https://skyscraperpage.com/cities?buildingID=107389,439,427,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""- fitness center"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
106 Seridó Torre 1,36,built,2012,"Rua Seridó, 106 - Pinheiros",Sao Paulo SP Brazil,http://construtorasaojose.com/...,439,https://skyscraperpage.com/cities?buildingID=107391,439,427,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""- fitness center"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Moreira Salles,37,built,1959,Rua Direita 250,Sao Paulo SP Brazil,,436,https://skyscraperpage.com/cities?buildingID=1669,436,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""- sign"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"")",0,1,0,0,Office
Veranda Gran Estan,41,built,2013,152 Rua Ribeiro do Vale & 72 Rua Pitu,Sao Paulo SP Brazil,http://estancorporate.com.br/c...,NA,https://skyscraperpage.com/cities?buildingID=104940,NA,NA,NA,"c(""Building Uses"", ""- mixed use"", ""- hotel"", ""- observation"", ""- office"", ""- residential"", ""- restaurant"", ""- fitness center"", ""Structural Types"", ""- highrise"")",1,1,1,0,Mixed Use
Ipiranga 165,36,built,1968,Av. Ipiranga 165 República BR-01046-919 Centre,Sao Paulo SP Brazil,,427,https://skyscraperpage.com/cities?buildingID=1720,427,NA,NA,"c(""Building Uses"", ""- hotel"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- concrete, reinforced"")",0,0,1,0,Hotel
Sky Corporate Tower,30,built,2012,Sao Paulo SP Brazil,,NA,427,https://skyscraperpage.com/cities?buildingID=35017,427,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Grande Sao Paulo,36,built,1971,Rua Libero Badaró 425,Sao Paulo SP Brazil,,423,https://skyscraperpage.com/cities?buildingID=3866,423,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete, reinforced"")",0,1,0,0,Office
Mercantil Finasa,35,built,1969,"Rua Líbero Badaró, 377",Sao Paulo SP Brazil,,423,https://skyscraperpage.com/cities?buildingID=4278,423,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- international"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete, reinforced"")",0,1,0,0,Office
Florida Penthouses A,40,built,2008,"Rua Flórida 1963, Brooklin",Sao Paulo SP Brazil,http://www.bairronobre.com.br/...,422,https://skyscraperpage.com/cities?buildingID=95237,422,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- concrete, reinforced"")",1,0,0,0,Residential
Birmann 32,26,built,2020,"Avenida Brigadeiro Faria Lima, 3732",Sao Paulo SP Brazil,http://www.b32.com.br/,412,https://skyscraperpage.com/cities?buildingID=4067,412,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- concrete"")",0,1,0,0,Office
Ciragan,42,built,2007,Alameda Ministro Rocha Azevedo 38,Sao Paulo SP Brazil,,410,https://skyscraperpage.com/cities?buildingID=11033,410,NA,NA,"c(""Building Uses"", ""- mixed use"", ""- office"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- granite"", ""- concrete, reinforced"", ""- brick"", ""- sandstone"")",1,1,0,0,Mixed Use
Matarazzo,25,built,2015,Avenida Paulista & Rua Pamplona,Sao Paulo SP Brazil,,410,https://skyscraperpage.com/cities?buildingID=17099,410,NA,NA,"c(""Building Uses"", ""- office"", ""- conference"", ""- parking garage"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",0,1,0,0,Office
Instituto do Câncer de São Paulo Octavio...,25,built,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World Trade Center,26,built,1994,Av Das Nacoes Unidas 12551,Sao Paulo SP Brazil,,407,https://skyscraperpage.com/cities?buildingID=3225,407,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- mall"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Capital Corporate Office,27,built,2012,1550 Av. Doutor Churci Zaidan,Sao Paulo SP Brazil,,404,https://skyscraperpage.com/cities?buildingID=108164,404,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
Panorama,38,built,2008,Rua Pensilvânia 114,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=6345,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Mirante,38,built,2008,Rua Pensilvânia 114,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=9513,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Horizonte,38,built,2008,Rua Pensilvânia 114,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=70504,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Plátano,37,built,2006,Sao Paulo SP Brazil,,NA,400,https://skyscraperpage.com/cities?buildingID=36198,400,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Paineiras,37,built,2003,Sao Paulo SP Brazil,,NA,400,https://skyscraperpage.com/cities?buildingID=27851,400,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Paineiras,37,built,2003,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96211,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Jacaranda,37,built,2003,Sao Paulo SP Brazil,,NA,400,https://skyscraperpage.com/cities?buildingID=27852,400,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Casa Grande Bloco D,37,built,,Sao Paulo SP Brazil,,NA,400,https://skyscraperpage.com/cities?buildingID=27856,400,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Casa Grande Bloco C,37,built,,Sao Paulo SP Brazil,,NA,400,https://skyscraperpage.com/cities?buildingID=27857,400,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Casa Grande Bloco B,37,built,2003,Sao Paulo SP Brazil,,NA,400,https://skyscraperpage.com/cities?buildingID=27853,400,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Casa Grande Bloco A,37,built,2003,Avenida Washington Luís 1576,Sao Paulo SP Brazil,,400,https://skyscraperpage.com/cities?buildingID=27854,400,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Cipriani Hotel & Residences,23,built,2014,"Av. Presidente Juscelino Kubitschek 2041, Vila Olímpia BR-04543-906",Sao Paulo SP Brazil,http://www.wtorrejk.com.br/,405,https://skyscraperpage.com/cities?buildingID=73211,405,397,348,"c(""Building Uses"", ""- hotel"", ""- office"", ""- parking garage"", ""- restaurant"", ""- retail"", ""- theatre"", ""- cinema"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""- mall"", ""Architectural Style"", ""- international"", ""- modern"", ""Materials"", ""- glass"", ""- stone"", ""- limestone"", ""- aluminium"", ""- marble"", ""- granite"", ""- stucco"", ""- concrete, reinforced"")",0,1,1,0,Mixed Use
L'Essence Jardins,35,built,2005,Rua Haddock Lobo 1725 Cerqueira César BR-01414-003 Zona Sul,Sao Paulo SP Brazil,,395,https://skyscraperpage.com/cities?buildingID=26070,395,387,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",1,0,0,0,Residential
CENU Torre Leste,32,built,2001,Av. das Nações Unidas 12901 Brooklin Paulista BR-04578-910 Zona Sul,Sao Paulo SP Brazil,,394,https://skyscraperpage.com/cities?buildingID=1548,394,NA,NA,"c(""Building Uses"", ""- hotel"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""- atrium"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- granite"", ""- concrete, reinforced"")",0,0,1,0,Hotel
Vert,32,built,2005,"Rua Itapimirium, 561",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=26073,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Rouge,32,built,2006,"Rua Itapimirium, 561",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=26072,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Olive,32,built,2005,Rua Itapimirium 561 Vila Andrade,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=26074,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Blue,32,built,2005,"Rua Itapimirium, 561",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=26075,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
CENU Torre Oeste,30,built,1998,Avenida das Nações Unidas 12901,Sao Paulo SP Brazil,,394,https://skyscraperpage.com/cities?buildingID=1578,394,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Florida Penthouses B,36,built,2008,Rua Flórida,Sao Paulo SP Brazil,,393,https://skyscraperpage.com/cities?buildingID=95236,393,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Infinity Tower,21,built,2012,Sao Paulo SP Brazil,,NA,387,https://skyscraperpage.com/cities?buildingID=86636,387,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Villa Europa,27,built,2008,Rua Tucumã 691,Sao Paulo SP Brazil,,384,https://skyscraperpage.com/cities?buildingID=11085,384,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- marble"", ""- stucco"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Park Tower,26,built,2012,Rua Armando Petrella 431,Sao Paulo SP Brazil,http://www.parquecidadejardim....,384,https://skyscraperpage.com/cities?buildingID=18666,384,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"")",0,1,0,0,Office
Particolare Torre B,36,built,2010,Rua Volta Redonda 388-394,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95060,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
