name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified
Rubine,30,built,2008,Rua Guararapes 2073,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=15415,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Moongate,30,built,2005,Rua Arandu 222,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=14809,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Magenta,30,built,2008,Rua Guararapes 2073,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=8255,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Cyan,30,built,2008,Rua Guararapes 2073,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=45273,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Britannia Bay,30,built,2005,Rua Arandu 222,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=20537,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Caesar Business Hotel Paulista,26,built,2003,Avenida Paulista 2181,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=102689,NA,NA,NA,"c(""Building Uses"", ""- hotel"", ""Structural Types"", ""- highrise"")",0,0,1,0,Hotel
San Marino,24,built,,Sao Paulo SP Brazil,,NA,318,https://skyscraperpage.com/cities?buildingID=11065,318,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Edificio Garagem @ Rua da Cantareira,32,built,,Rua da Cantareira,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96396,NA,NA,NA,"c(""Building Uses"", ""- parking garage"", ""Structural Types"", ""- highrise"")",0,0,0,1,Other
Orion,30,built,2006,Rua do Rócio 450,Sao Paulo SP Brazil,,315,https://skyscraperpage.com/cities?buildingID=84681,315,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
Hydrus,30,built,2006,Rua do Rócio 450,Sao Paulo SP Brazil,,315,https://skyscraperpage.com/cities?buildingID=84682,315,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
Edifício Faria Lima Premium,25,built,1999,"Rua Diogo Moreira, 132 - Pinheiros",Sao Paulo SP Brazil,,315,https://skyscraperpage.com/cities?buildingID=5826,315,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Edificio Piazza Navona,23,built,2000,Rua Aracaju 201,Sao Paulo SP Brazil,,315,https://skyscraperpage.com/cities?buildingID=11020,315,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Paulista I,25,built,1975,Avenida Paulista 1337,Sao Paulo SP Brazil,,312,https://skyscraperpage.com/cities?buildingID=10946,312,NA,NA,"c(""Building Uses"", ""- office"", ""- communication"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Helbor Loft Evolution 2,23,built,2003,590 Rua Mourato Coelho,Sao Paulo SP Brazil,,312,https://skyscraperpage.com/cities?buildingID=11070,312,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
San Paolo Building,22,built,1998,Sao Paulo SP Brazil,,NA,312,https://skyscraperpage.com/cities?buildingID=10903,312,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other
Olimpic Torre B,31,built,2009,Rua Fernandes Moreira 1550,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96181,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Olimpic Torre A,31,built,2009,Rua Fernandes Moreira 1550,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96180,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Barão de Campo Belo,30,built,2007,Rua João de Souza Dias 531,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96481,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Bolsa de Cereais do Estado de São Paulo,29,built,1960,Avenida Senador Queirós 605,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96399,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
East Side Condominium Club,27,built,2007,"Rua Apeninos, 800 - Paraíso",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63906,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
Lion D'Or,23,built,2010,Rua Safira 368,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=102700,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Edifício Lindenberg São Paulo,28,built,,"Rua Maria Antonia Ladalardo, 320 - Panamby",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63115,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
Up Side Condominium Club,27,built,2006,"Rua Doutor Eduardo Amaro, 99 - Paraíso",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63905,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
Edifício Lindenberg Melo Alves,26,built,,"Rua Melo Alves, 700 - Cerqueira Cézar",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63119,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Edifício Eluma,25,built,1987,"Avenida Paulista, 1294 - Bela Vista",Sao Paulo SP Brazil,,310,https://skyscraperpage.com/cities?buildingID=10944,310,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- granite"", ""- concrete"")",0,1,0,0,Office
Unibanco Building,22,built,,"Avenida Eusébio Matoso, 891 - Pinheiros",Sao Paulo SP Brazil,,310,https://skyscraperpage.com/cities?buildingID=10951,310,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Hyde Park,28,built,2007,On the Park,Sao Paulo SP Brazil,,308,https://skyscraperpage.com/cities?buildingID=84684,308,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential
Hyde Park,28,built,2007,"Av. Brigadeiro Faria Lima, 2954 Itaim 02365-000 Zona Sul",Sao Paulo SP Brazil,,138,https://skyscraperpage.com/cities?buildingID=72898,138,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Central Park,27,built,2007,On the Park,Sao Paulo SP Brazil,,308,https://skyscraperpage.com/cities?buildingID=84683,308,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential
Central Park,27,built,2007,Avenida Paulista 2198-2200,Sao Paulo SP Brazil,,307,https://skyscraperpage.com/cities?buildingID=95825,307,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
Safra Headquarters,25,built,1987,Avenida Paulista - Bela Vista - Zona Sul,Sao Paulo SP Brazil,,308,https://skyscraperpage.com/cities?buildingID=1553,308,295,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Edifício Igarassu,20,built,,"Rua Surubim, 577",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95229,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
Central Park,25,built,1970,On the Park,Sao Paulo SP Brazil,,308,https://skyscraperpage.com/cities?buildingID=84683,308,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential
Central Park,25,built,1970,Avenida Paulista 2198-2200,Sao Paulo SP Brazil,,307,https://skyscraperpage.com/cities?buildingID=95825,307,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
Vitale,31,built,2005,Rua Voluntários da Pátria 4280,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95138,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Seabreeze,29,built,2005,Rua Arandu 222,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=15115,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Lagoon Bay,29,built,2005,Rua Arandu 222,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=1742,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Aquila,29,built,2006,Atmosfera Vila Olimpia,Sao Paulo SP Brazil,,305,https://skyscraperpage.com/cities?buildingID=84685,305,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
Hotel Fasano,25,built,2003,Rua Vitório Fasano 88,Sao Paulo SP Brazil,,305,https://skyscraperpage.com/cities?buildingID=102697,305,NA,NA,"c(""Building Uses"", ""- hotel"", ""Structural Types"", ""- highrise"")",0,0,1,0,Hotel
Santa Luiza Workcenter,22,built,2002,Rua Maestro Cardin 1121,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=102701,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
Citicorp Center,21,built,1986,Avenida Paulista 1111,Sao Paulo SP Brazil,,305,https://skyscraperpage.com/cities?buildingID=10900,305,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"")",0,1,0,0,Office
Edifício Presidente Altino Arantes,27,built,1951,111 Rua XV de Novembro,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=91540,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- brick"")",0,1,0,0,Office
Helbor Loft Evolution,22,built,2002,150 Rua Lisboa Jardim América,Sao Paulo SP Brazil,,299,https://skyscraperpage.com/cities?buildingID=11069,299,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Edifício Lindenberg Tangará,27,built,,Avenida Carlos Queiroz Telles 30,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63120,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""Materials"", ""- glass"", ""- granite"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Edifício Appia,26,built,2013,"Alameda Lorena 165, Jd. Paulista Zona Sul BR-01424-000",Sao Paulo SP Brazil,,299,https://skyscraperpage.com/cities?buildingID=73028,299,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- terra cotta"", ""- granite"", ""- stucco"", ""- concrete, reinforced"")",1,0,0,0,Residential
Ana Luíza,26,built,2000,"Rua Doutor Tomás Carvalhal, 880 - Vila Mariana",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=11055,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- concrete"")",1,0,0,0,Residential
Edifício Blanc,25,built,2007,Rua Dr. Miranda de Azevedo 779 x R.Taipas Pompéia-Vila Anglo Brasileir,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=59717,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Sao Paulo Trade Building,17,built,1999,Rua Funchal 375,Sao Paulo SP Brazil,,299,https://skyscraperpage.com/cities?buildingID=84686,299,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Eternity,28,built,2007,Rua Eleonora Cintra 900,Sao Paulo SP Brazil,,298,https://skyscraperpage.com/cities?buildingID=84687,298,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
Altana,27,built,2006,Avenida República do Líbano 1873,Sao Paulo SP Brazil,,296,https://skyscraperpage.com/cities?buildingID=84688,296,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential
Vivre Torre A,30,built,2010,Rua Doutor Antônio Bento 504,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96182,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Visage,30,built,2008,Rua Doutor Ferreira Lópes 560,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96279,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Rugendas,30,built,,Rua Manoel da Nóbrega 1240,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95127,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Reserva Marajoara Park Bloco C,30,built,,Avenida João Peixoto Viegas 193,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96214,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Reserva Marajoara Park Bloco B,30,built,,Avenida João Peixoto Viegas 193,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96213,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Reserva Marajoara Park Bloco A,30,built,,Avenida João Peixoto Viegas 193,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96212,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
