name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified,address_adj,lat,long
Centro Empresarial Água Branca - Los Angeles,22,built,2000,"Av. Francisco Matarazzo, 1500",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=104912,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- concrete, reinforced"")",0,1,0,0,Office,"Av. Francisco Matarazzo, 1500",-23.5258165,-46.6769722
Verso,25,built,2009,Rua Laguna 630,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96177,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Laguna 630,-23.6416792,-46.715957
Terra Brasilis,25,built,2007,Rua André Ampère 153,Sao Paulo SP Brazil,,262,https://skyscraperpage.com/cities?buildingID=11057,262,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office,Rua André Ampère 153,-23.610032,-46.6932213
Terra Brasilis,25,built,2007,Rua Sócrates 335,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96281,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Sócrates 335,-23.6573641,-46.6914225
Rima,25,built,2009,Rua Laguna 630,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96176,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Laguna 630,-23.6416792,-46.715957
Regente Feijó A,25,built,,Praça da Liberdade 107,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96403,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Praça da Liberdade 107,-23.5549012,-46.6352556
Prosa,25,built,2009,Rua Laguna 630,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96175,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Laguna 630,-23.6416792,-46.715957
Laranjeiras,25,built,2003,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96204,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Borba Gato 331,-23.6568592,-46.6996914
Gardenia,25,built,2005,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96203,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Borba Gato 331,-23.6568592,-46.6996914
Conto,25,built,2009,Rua Laguna 630,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96174,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Laguna 630,-23.6416792,-46.715957
Cennario,25,built,2008,Rua Visconde de Taunay 507,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96198,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Visconde de Taunay 507,-22.9066186,-43.2852353
Amarylis,25,built,2005,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96202,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Borba Gato 331,-23.6568592,-46.6996914
Le Crillon,23,built,2006,Rua Peixoto Gomide 502,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=102698,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Peixoto Gomide 502,-23.5598857,-46.6560858
Itamarati,23,built,1993,"Rua Martinico Prado, 26",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95831,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office,"Rua Martinico Prado, 26",-23.5426322,-46.651494
Grand Hotel Ca'd'Oro,23,built,,Rua Augusta 129,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95826,NA,NA,NA,"c(""Building Uses"", ""- hotel"", ""Structural Types"", ""- highrise"")",0,0,1,0,Hotel,Rua Augusta 129,-23.550579550000002,-46.647272803082195
Authentique Higienópolis,23,built,2006,Rua Maranhão 391,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95830,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Maranhão 391,-2.52945,-44.231334
Sebrae Tower,22,built,,Rua Vergueiro 1117 - Vergueiro - Zona Sul,Sao Paulo SP Brazil,,246,https://skyscraperpage.com/cities?buildingID=10912,246,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete"")",0,1,0,0,Office,Rua Vergueiro 1117 - Vergueiro - Zona Sul,-22.9346827,-43.1751649
Pátio Victor Malzoni,21,built,2011,Avenida Brigadeiro Faria Lima,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=14786,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- hole"")",0,1,0,0,Office,Avenida Brigadeiro Faria Lima,-23.5695569,-46.6915665
