name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified,address_adj,lat,long
Mirante do Vale,45,built,1960,"Avenida Prestes Maia, 241",Sao Paulo SP Brazil,http://www.mirantedovale.com.br/,558,https://skyscraperpage.com/cities?buildingID=1537,558,NA,NA,"c(""Building Uses"", ""- office"", ""- observation"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- international"", ""- modern"", ""Materials"", ""- glass"", ""- concrete, reinforced"", ""- concrete"")",0,1,0,0,Office,"Avenida Prestes Maia, 241",-23.5423,-46.635118
Edificio Italia,46,built,1965,Av. Ipiranga 344 República BR-01046-010 Centre,Sao Paulo SP Brazil,,541,https://skyscraperpage.com/cities?buildingID=1527,541,NA,NA,"c(""Building Uses"", ""- office"", ""- communication"", ""- residential"", ""- restaurant"", ""- retail"", ""- theatre"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- concrete"")",1,1,0,0,Mixed Use,Av. Ipiranga 344 República ,-23.5453075,-46.6436337
CENU Torre Norte,34,built,1999,"Avenida das Nações Unidas, 12901 - Brooklin Novo",Sao Paulo SP Brazil,,518,https://skyscraperpage.com/cities?buildingID=1528,518,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office,"Avenida das Nações Unidas, 12901 - Brooklin Novo",-23.6111255,-46.69656375932362
Birmann 21,26,built,1996,Av.das Nações Unidas 7221 Pinheiros BR-05425-902 Zona Oeste,Sao Paulo SP Brazil,,489,https://skyscraperpage.com/cities?buildingID=1662,489,400,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office,Av.das Nações Unidas 7221 Pinheiros ,-23.5653335,-46.7028384
e-Tower,37,built,2005,Rua Funchal 418 Vila Olímpia BR-04551-060 Zona Sul,Sao Paulo SP Brazil,,487,https://skyscraperpage.com/cities?buildingID=7888,487,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""- restaurant"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""- atrium"", ""- landing pad"", ""- pole"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete"")",0,1,0,0,Office,Rua Funchal 418 Vila Olímpia ,-23.59371985,-46.69039368087596
Itaú Fidelité Marginal Pinheiros,30,built,2002,"Avenida Doutor Chucri Zaidan, 246 - Brooklin Novo",Sao Paulo SP Brazil,,476,https://skyscraperpage.com/cities?buildingID=1556,476,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""- retail"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office,"Avenida Doutor Chucri Zaidan, 246 - Brooklin Novo",-23.6172844,-46.6974638
Emiliano Anália Franco,41,built,2013,"Rua Nagib Izar, 258 - Vila Formosa",Sao Paulo SP Brazil,https://porte.com.br/empreendi...,469,https://skyscraperpage.com/cities?buildingID=108166,469,NA,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""- fitness center"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,"Rua Nagib Izar, 258 - Vila Formosa",-23.5570541,-46.5611613
Edifício do Banco do Brasil,24,built,1955,"Rua São Bento, 465",Sao Paulo SP Brazil,,469,https://skyscraperpage.com/cities?buildingID=1667,469,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- limestone"", ""- concrete, reinforced"")",0,1,0,0,Office,"Rua São Bento, 465",-23.545244,-46.6346882
Inhambú,40,built,2010,Rua Inhambú,Sao Paulo SP Brazil,,463,https://skyscraperpage.com/cities?buildingID=10983,463,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"", ""- brick"", ""- sandstone"")",1,0,0,0,Residential,Rua Inhambú,-22.938502,-43.0441993
Canário,40,built,2010,"Rua Canário, 130",Sao Paulo SP Brazil,,463,https://skyscraperpage.com/cities?buildingID=10988,463,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"", ""- brick"", ""- sandstone"")",1,0,0,0,Residential,"Rua Canário, 130",-22.9117265,-47.1182388
Eldorado Business Tower,34,built,2007,Avenida das Nações Unidas 8501,Sao Paulo SP Brazil,http://www.eldoradobusinesstow...,462,https://skyscraperpage.com/cities?buildingID=11082,462,435,23,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete, reinforced"")",0,1,0,0,Office,Avenida das Nações Unidas 8501,-23.5734931,-46.6978208
WTorre Morumbi,34,built,2015,Morumbi,Sao Paulo SP Brazil,,459,https://skyscraperpage.com/cities?buildingID=4837,459,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- hole"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office,Morumbi,-23.5964988,-46.7178446
Plaza Centenário,34,built,1995,Avenida das Nações Unidas 12995,Sao Paulo SP Brazil,,456,https://skyscraperpage.com/cities?buildingID=1555,456,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete, reinforced"")",0,1,0,0,Office,Avenida das Nações Unidas 12995,-23.6055956,-46.69606821167951
Nova York Penthouses,32,built,2015,"Rua Nova York, 185 - Brooklin",Sao Paulo SP Brazil,http://novayorkpenthouses.com.br/,NA,https://skyscraperpage.com/cities?buildingID=33001,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential,"Rua Nova York, 185 - Brooklin",-23.6167493,-46.6862589
Capital Building,31,built,2011,Rua Armando Petrella 431,Sao Paulo SP Brazil,http://www.parquecidadejardim....,456,https://skyscraperpage.com/cities?buildingID=84673,456,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"")",0,1,0,0,Office,Rua Armando Petrella 431,-23.6022691,-46.699177
Katherine Mansfield,39,built,2013,"Rua Cândido Lacerda, 231 - Vila Formosa",Sao Paulo SP Brazil,https://porte.com.br/empreendi...,454,https://skyscraperpage.com/cities?buildingID=110839,454,NA,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential,"Rua Cândido Lacerda, 231 - Vila Formosa",-23.5538549,-46.5648797
Torre São Paulo I,35,built,2009,Av. Presidente Juscelino Kubitschek 2041 Vila Olímpia BR-04543-906,Sao Paulo SP Brazil,http://www.wtorrejk.com.br/,447,https://skyscraperpage.com/cities?buildingID=64441,447,443,425,"c(""Building Uses"", ""- office"", ""- restaurant"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- international"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office,Av. Presidente Juscelino Kubitschek 2041 Vila Olímpia ,-23.5856777,-46.671672
Continental Tower,30,built,2012,Rua Armando Petrella 431,Sao Paulo SP Brazil,http://www.parquecidadejardim....,NA,https://skyscraperpage.com/cities?buildingID=84674,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"")",0,1,0,0,Office,Rua Armando Petrella 431,-23.6022691,-46.699177
RochaVerá Plaza Torre C,32,built,2011,"Avenida das Nações Unidas, 14171 - Santo Amaro",Sao Paulo SP Brazil,,439,https://skyscraperpage.com/cities?buildingID=27862,439,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office,"Avenida das Nações Unidas, 14171 - Santo Amaro",-23.6229744,-46.7012293
Hospital Sírio-Libanês,27,built,2015,Rua Professor Daher Cutait - Bela Vista,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=108241,NA,NA,NA,"c(""Building Uses"", ""- hospital"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"")",0,0,0,1,Other,Rua Professor Daher Cutait - Bela Vista,-23.5570747,-46.6527991
106 Seridó Torre 2,36,built,2012,"Rua Seridó, 106 - Pinheiros",Sao Paulo SP Brazil,http://construtorasaojose.com/...,439,https://skyscraperpage.com/cities?buildingID=107389,439,427,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""- fitness center"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,"Rua Seridó, 106 - Pinheiros",-23.583107,-46.6897419
106 Seridó Torre 1,36,built,2012,"Rua Seridó, 106 - Pinheiros",Sao Paulo SP Brazil,http://construtorasaojose.com/...,439,https://skyscraperpage.com/cities?buildingID=107391,439,427,NA,"c(""Building Uses"", ""- residential"", ""- parking garage"", ""- fitness center"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,"Rua Seridó, 106 - Pinheiros",-23.583107,-46.6897419
Moreira Salles,37,built,1959,Rua Direita 250,Sao Paulo SP Brazil,,436,https://skyscraperpage.com/cities?buildingID=1669,436,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""- sign"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"")",0,1,0,0,Office,Rua Direita 250,-23.5488348,-46.6343955
Ipiranga 165,36,built,1968,Av. Ipiranga 165 República BR-01046-919 Centre,Sao Paulo SP Brazil,,427,https://skyscraperpage.com/cities?buildingID=1720,427,NA,NA,"c(""Building Uses"", ""- hotel"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- concrete, reinforced"")",0,0,1,0,Hotel,Av. Ipiranga 165 República ,-23.5462713,-46.645582920109646
Grande Sao Paulo,36,built,1971,Rua Libero Badaró 425,Sao Paulo SP Brazil,,423,https://skyscraperpage.com/cities?buildingID=3866,423,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete, reinforced"")",0,1,0,0,Office,Rua Libero Badaró 425,-23.546245499999998,-46.63642711761827
Mercantil Finasa,35,built,1969,"Rua Líbero Badaró, 377",Sao Paulo SP Brazil,,423,https://skyscraperpage.com/cities?buildingID=4278,423,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- international"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete, reinforced"")",0,1,0,0,Office,"Rua Líbero Badaró, 377",-23.5463954,-46.6363529
Florida Penthouses A,40,built,2008,"Rua Flórida 1963, Brooklin",Sao Paulo SP Brazil,http://www.bairronobre.com.br/...,422,https://skyscraperpage.com/cities?buildingID=95237,422,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- concrete, reinforced"")",1,0,0,0,Residential,"Rua Flórida 1963, Brooklin",-23.6132101,-46.6862894
Birmann 32,26,built,2020,"Avenida Brigadeiro Faria Lima, 3732",Sao Paulo SP Brazil,http://www.b32.com.br/,412,https://skyscraperpage.com/cities?buildingID=4067,412,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- concrete"")",0,1,0,0,Office,"Avenida Brigadeiro Faria Lima, 3732",-23.5658386,-46.6944384
Ciragan,42,built,2007,Alameda Ministro Rocha Azevedo 38,Sao Paulo SP Brazil,,410,https://skyscraperpage.com/cities?buildingID=11033,410,NA,NA,"c(""Building Uses"", ""- mixed use"", ""- office"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- granite"", ""- concrete, reinforced"", ""- brick"", ""- sandstone"")",1,1,0,0,Mixed Use,Alameda Ministro Rocha Azevedo 38,-23.5583682,-46.656539
Matarazzo,25,built,2015,Avenida Paulista & Rua Pamplona,Sao Paulo SP Brazil,,410,https://skyscraperpage.com/cities?buildingID=17099,410,NA,NA,"c(""Building Uses"", ""- office"", ""- conference"", ""- parking garage"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",0,1,0,0,Office,Avenida Paulista & Rua Pamplona,-23.5676194,-46.6575633
World Trade Center,26,built,1994,Av Das Nacoes Unidas 12551,Sao Paulo SP Brazil,,407,https://skyscraperpage.com/cities?buildingID=3225,407,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- mall"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office,Av Das Nacoes Unidas 12551,-23.6142492,-46.6989787
Panorama,38,built,2008,Rua Pensilvânia 114,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=6345,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Pensilvânia 114,-23.6140325,-46.6836186
Mirante,38,built,2008,Rua Pensilvânia 114,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=9513,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Pensilvânia 114,-23.6140325,-46.6836186
Horizonte,38,built,2008,Rua Pensilvânia 114,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=70504,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Pensilvânia 114,-23.6140325,-46.6836186
Paineiras,37,built,2003,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96211,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Borba Gato 331,-23.6568592,-46.6996914
Casa Grande Bloco A,37,built,2003,Avenida Washington Luís 1576,Sao Paulo SP Brazil,,400,https://skyscraperpage.com/cities?buildingID=27854,400,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential,Avenida Washington Luís 1576,-23.6317875,-46.6691373
Cipriani Hotel & Residences,23,built,2014,"Av. Presidente Juscelino Kubitschek 2041, Vila Olímpia BR-04543-906",Sao Paulo SP Brazil,http://www.wtorrejk.com.br/,405,https://skyscraperpage.com/cities?buildingID=73211,405,397,348,"c(""Building Uses"", ""- hotel"", ""- office"", ""- parking garage"", ""- restaurant"", ""- retail"", ""- theatre"", ""- cinema"", ""- fitness center"", ""Structural Types"", ""- highrise"", ""- mall"", ""Architectural Style"", ""- international"", ""- modern"", ""Materials"", ""- glass"", ""- stone"", ""- limestone"", ""- aluminium"", ""- marble"", ""- granite"", ""- stucco"", ""- concrete, reinforced"")",0,1,1,0,Mixed Use,"Av. Presidente Juscelino Kubitschek 2041, Vila Olímpia ",-23.5856777,-46.671672
L'Essence Jardins,35,built,2005,Rua Haddock Lobo 1725 Cerqueira César BR-01414-003 Zona Sul,Sao Paulo SP Brazil,,395,https://skyscraperpage.com/cities?buildingID=26070,395,387,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",1,0,0,0,Residential,Rua Haddock Lobo 1725 Cerqueira César ,-23.5652847,-46.669271
CENU Torre Oeste,30,built,1998,Avenida das Nações Unidas 12901,Sao Paulo SP Brazil,,394,https://skyscraperpage.com/cities?buildingID=1578,394,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office,Avenida das Nações Unidas 12901,-23.6111255,-46.69656375932362
Florida Penthouses B,36,built,2008,Rua Flórida,Sao Paulo SP Brazil,,393,https://skyscraperpage.com/cities?buildingID=95236,393,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Flórida,-19.953823,-44.2051171
Villa Europa,27,built,2008,Rua Tucumã 691,Sao Paulo SP Brazil,,384,https://skyscraperpage.com/cities?buildingID=11085,384,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- marble"", ""- stucco"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential,Rua Tucumã 691,-2.6351417,-56.7392849
Park Tower,26,built,2012,Rua Armando Petrella 431,Sao Paulo SP Brazil,http://www.parquecidadejardim....,384,https://skyscraperpage.com/cities?buildingID=18666,384,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"")",0,1,0,0,Office,Rua Armando Petrella 431,-23.6022691,-46.699177
Particolare Torre B,36,built,2010,Rua Volta Redonda 388-394,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95060,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Volta Redonda 388-394,-22.8186695,-43.3585618
Particolare Torre A,36,built,2010,Rua Volta Redonda 388-394,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95059,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Volta Redonda 388-394,-22.8186695,-43.3585618
Edifício Andraus,31,built,1962,"Rua Pedro Américo, 32 - República",Sao Paulo SP Brazil,,377,https://skyscraperpage.com/cities?buildingID=49769,377,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- brick"")",0,1,0,0,Office,"Rua Pedro Américo, 32 - República",-23.5416721,-46.6420429
Open House Loft Panamby,28,built,2003,Rua Deputado Laércio Corte 1400,Sao Paulo SP Brazil,,377,https://skyscraperpage.com/cities?buildingID=10878,377,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- concrete, reinforced"")",1,0,0,0,Residential,Rua Deputado Laércio Corte 1400,-23.6282858,-46.7237969
Leeds Hall,34,built,2006,Rua Domenico Perotti 95,Sao Paulo SP Brazil,,374,https://skyscraperpage.com/cities?buildingID=84677,374,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential,Rua Domenico Perotti 95,-23.6281769,-46.7221686
Edificio Porto Alegre,31,built,1995,"Rua Domenico Perotti, 95",Sao Paulo SP Brazil,,374,https://skyscraperpage.com/cities?buildingID=10998,374,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""- renaissance revival"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- brick"", ""- sandstone"")",1,0,0,0,Residential,"Rua Domenico Perotti, 95",-23.6281769,-46.7221686
Instituto Tomie Ohtake & Torre Faria Lima,32,built,2004,Avenida Brigadeiro Faria Lima 201,Sao Paulo SP Brazil,http://www.institutotomieohtak...,367,https://skyscraperpage.com/cities?buildingID=58943,367,NA,NA,"c(""Building Uses"", ""- office"", ""- conference"", ""- parking garage"", ""- religious"", ""- restaurant"", ""- retail"", ""- theatre"", ""- showroom"", ""- cinema"", ""Structural Types"", ""- highrise"", ""- church"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- granite"", ""- concrete"")",0,1,0,0,Office,Avenida Brigadeiro Faria Lima 201,-23.5611492,-46.6947498
The Blue Loft,30,built,2004,Rua Diogo Jácome 950,Sao Paulo SP Brazil,,366,https://skyscraperpage.com/cities?buildingID=11075,366,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- concrete, reinforced"")",1,0,0,0,Residential,Rua Diogo Jácome 950,-23.5946126,-46.6662761
The View,34,built,2007,Avenida Nova Independência 1000,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=13258,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Avenida Nova Independência 1000,-23.6018361,-46.6897825
Ville Burle Marx,33,built,2007,Rua Diego de Castilho,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95105,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Diego de Castilho,-23.6293318,-46.7214048
Predio Martinelli,30,built,1934,"Líbero Badaró 505, Centro",Sao Paulo SP Brazil,,348,https://skyscraperpage.com/cities?buildingID=4241,348,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- art deco"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- stucco"", ""- concrete, reinforced"", ""- brick"")",0,1,0,0,Office,"Líbero Badaró 505, Centro",-14.8464377,-40.8446185
Edifício CBI Esplanada,30,built,1948,"Praça Ramos de Azevedo, 206 - Centro",Sao Paulo SP Brazil,,399,https://skyscraperpage.com/cities?buildingID=10904,399,370,361,"c(""Building Uses"", ""- office"", ""- retail"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- aluminium"", ""- concrete, reinforced"")",0,1,0,0,Office,"Praça Ramos de Azevedo, 206 - Centro",-22.9016453,-47.0705949
Contemporary Tower,26,built,2000,Av. Ibirapuera 2120 Indianópolis BR-04028-001 Zona Sul,Sao Paulo SP Brazil,,361,https://skyscraperpage.com/cities?buildingID=8038,361,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"")",0,1,0,0,Office,Av. Ibirapuera 2120 Indianópolis ,-23.596317,-46.6554343
UNIP Campus Paraíso A,25,built,2004,"Rua Vergueiro 1211, Vergueiro, Zona Sul",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=59252,NA,NA,NA,"c(""Building Uses"", ""- education"", ""- communication"", ""- university"", ""Structural Types"", ""- highrise"", ""- truss tower"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"")",0,0,0,1,Other,"Rua Vergueiro 1211, Vergueiro, Zona Sul",-22.9346827,-43.1751649
Edificio Mansao Real,32,built,1986,Rua Fradique de Melo 89,Sao Paulo SP Brazil,,358,https://skyscraperpage.com/cities?buildingID=10993,358,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,Rua Fradique de Melo 89,-23.6495242,-46.6861881
Edificio Shigekiyo,31,built,1989,Rua Sergipe 304,Sao Paulo SP Brazil,,358,https://skyscraperpage.com/cities?buildingID=10989,358,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,Rua Sergipe 304,-10.9102394,-37.0711884
Edificio Novo Hamburgo,31,built,1992,Rua Albuquerque 16,Sao Paulo SP Brazil,,358,https://skyscraperpage.com/cities?buildingID=11044,358,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,Rua Albuquerque 16,-22.8641434,-43.4696133
Edificio Paiol,28,built,1988,Rua Ágata 7,Sao Paulo SP Brazil,,358,https://skyscraperpage.com/cities?buildingID=11038,358,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,Rua Ágata 7,-24.9819797,-53.5050912
Reserva Verde,30,built,2011,"Rua Aimberê, 233",Sao Paulo SP Brazil,,356,https://skyscraperpage.com/cities?buildingID=61442,356,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential,"Rua Aimberê, 233",-23.533417,-46.6786612
International Plaza II,28,built,2009,Avenida Presidente Juscelino Kubitschek 1327,Sao Paulo SP Brazil,,354,https://skyscraperpage.com/cities?buildingID=84678,354,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office,Avenida Presidente Juscelino Kubitschek 1327,-23.5905172,-46.689192
Edificio Inácio Monteiro,31,built,1983,Rua Sta. Cruz 1058,Sao Paulo SP Brazil,,354,https://skyscraperpage.com/cities?buildingID=11002,354,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,Rua Sta. Cruz 1058,-21.1201584,-42.9448204
Edificio Generali,31,built,1950,Rua Libero Badaró 188,Sao Paulo SP Brazil,,354,https://skyscraperpage.com/cities?buildingID=11017,354,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,Rua Libero Badaró 188,-22.931258,-43.38264
Edificio Irineu Máier,30,built,1973,Rua Cariolano 319,Sao Paulo SP Brazil,,354,https://skyscraperpage.com/cities?buildingID=10973,354,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,Rua Cariolano 319,-3.3030972,-60.6173107
Edificio Guacuri,30,built,1983,Alameda Rubiao Júnior 8,Sao Paulo SP Brazil,,354,https://skyscraperpage.com/cities?buildingID=10978,354,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,Alameda Rubiao Júnior 8,-22.8875066,-48.4883483
Edificio Belenzinho,30,built,1987,Rua Belisário Campana 155,Sao Paulo SP Brazil,,354,https://skyscraperpage.com/cities?buildingID=10970,354,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,Rua Belisário Campana 155,20.7034026,-103.3176466
