"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 27, 2022","84,492.69","84,244.96","84,808.64","83,854.55","-","0.80%"
"Apr 26, 2022","83,818.67","83,820.50","84,266.67","83,468.37","-","-0.18%"
"Apr 25, 2022","83,966.37","82,590.04","84,125.33","82,393.96","-","1.37%"
"Apr 22, 2022","82,828.69","83,767.01","83,813.64","82,590.87","-","-1.46%"
"Apr 20, 2022","84,058.62","83,717.54","84,343.56","83,479.38","-","0.17%"
"Apr 19, 2022","83,914.68","85,285.65","85,285.65","83,332.90","-","-1.62%"
"Apr 18, 2022","85,299.02","85,802.88","86,378.30","85,299.02","-","-0.60%"
"Apr 14, 2022","85,814.15","85,463.32","85,925.63","85,131.32","-","0.34%"
"Apr 13, 2022","85,522.07","85,623.95","86,112.86","85,456.28","-","0.26%"
"Apr 12, 2022","85,300.11","85,703.43","86,194.91","84,837.37","-","0.24%"
"Apr 11, 2022","85,099.28","85,330.31","85,983.33","85,099.28","-","-0.70%"
"Apr 08, 2022","85,700.69","84,770.79","85,948.24","84,612.09","-","1.00%"
"Apr 07, 2022","84,852.82","84,603.31","85,151.31","84,162.10","-","0.03%"
"Apr 06, 2022","84,829.75","84,696.19","84,829.75","83,559.97","-","-0.06%"
"Apr 05, 2022","84,878.28","85,904.94","86,110.79","84,781.83","-","-1.36%"
"Apr 04, 2022","86,051.98","86,439.68","86,717.98","85,833.44","-","-0.54%"
"Apr 01, 2022","86,516.05","85,282.43","86,600.17","85,282.43","-","1.74%"
"Mar 31, 2022","85,040.32","84,945.00","85,444.28","84,703.21","-","0.23%"
"Mar 30, 2022","84,843.13","85,655.46","85,951.17","84,757.87","-","-1.05%"
"Mar 29, 2022","85,739.17","85,534.98","86,520.03","85,211.92","-","1.08%"
"Mar 28, 2022","84,824.48","85,199.09","85,416.41","84,403.90","-","-0.29%"
"Mar 25, 2022","85,075.42","84,908.50","85,413.59","84,689.23","-","0.35%"
"Mar 24, 2022","84,775.47","83,060.49","84,859.67","83,060.49","-","2.21%"
"Mar 23, 2022","82,943.71","82,907.64","83,348.24","82,433.54","-","0.22%"
"Mar 22, 2022","82,759.91","81,651.78","82,852.94","81,651.78","-","1.75%"
"Mar 21, 2022","81,335.59","80,946.29","81,424.13","80,436.53","-","0.58%"
"Mar 18, 2022","80,868.28","78,908.46","80,868.28","78,670.40","-","2.53%"
"Mar 17, 2022","78,870.64","77,093.99","78,907.73","76,929.83","-","2.28%"
"Mar 16, 2022","77,109.90","76,886.44","77,293.34","76,111.68","-","0.44%"
"Mar 15, 2022","76,772.98","76,592.15","77,104.63","76,194.26","-","0.04%"
"Mar 14, 2022","76,743.77","77,174.03","77,986.18","76,510.77","-","-0.39%"
"Mar 11, 2022","77,048.11","77,912.45","78,378.81","76,740.24","-","-1.03%"
"Mar 10, 2022","77,851.89","77,865.75","78,012.70","76,505.50","-","-0.39%"
"Mar 09, 2022","78,156.04","76,162.84","78,602.24","76,096.94","-","2.71%"
"Mar 08, 2022","76,096.42","75,975.20","77,020.58","75,473.55","-","0.30%"
"Mar 07, 2022","75,869.86","77,312.92","77,469.33","75,839.16","-","-2.26%"
"Mar 04, 2022","77,622.07","78,462.64","78,899.02","77,273.18","-","-0.93%"
"Mar 03, 2022","78,353.35","78,103.14","78,699.11","77,704.26","-","0.28%"
"Mar 02, 2022","78,137.77","78,014.98","78,369.16","77,470.52","-","0.10%"
"Feb 25, 2022","78,061.42","77,654.39","78,165.99","77,250.47","-","0.22%"
"Feb 24, 2022","77,891.40","77,469.52","78,320.93","76,274.31","-","-0.54%"
"Feb 23, 2022","78,311.49","77,711.29","79,130.89","77,711.29","-","0.84%"
"Feb 22, 2022","77,662.01","76,950.17","78,018.04","76,927.34","-","1.23%"
"Feb 21, 2022","76,717.23","77,296.43","77,587.19","76,717.23","-","-0.71%"
"Feb 18, 2022","77,266.23","77,776.20","78,029.63","77,177.32","-","-0.41%"
"Feb 17, 2022","77,582.65","77,683.96","78,294.95","77,476.63","-","-0.09%"
"Feb 16, 2022","77,652.50","77,529.67","78,148.67","77,505.29","-","0.20%"
