ano,mes,id_municipio,regiao_ssp,homicidio_doloso,numero_de_vitimas_em_homicidio_doloso,homicidio_doloso_por_acidente_de_transito,numero_de_vitimas_em_homicidio_doloso_por_acidente_de_transito,homicidio_culposo_por_acidente_de_transito,homicidio_culposo_outros,tentativa_de_homicidio,lesao_corporal_seguida_de_morte,lesao_corporal_dolosa,lesao_corporal_culposa_por_acidente_de_transito,lesao_corporal_culposa_outras,latrocinio,numero_de_vitimas_em_latrocinio,total_de_estupro,estupro,estupro_de_vulneravel,total_de_roubo_outros,roubo_outros,roubo_de_veiculo,roubo_a_banco,roubo_de_carga,furto_outros,furto_de_veiculo
2015,2,3550308,Capital,93,98,1,1,30,3,70,,2396,1574,68,8,8,163,,,12393,,3261,10,431,12931,3611
2015,3,3550308,Capital,103,114,0,0,49,4,79,,2592,2004,83,12,12,197,,,14217,,3376,7,533,16226,4253
2015,4,3550308,Capital,81,97,0,0,31,3,86,,2351,1756,88,9,9,167,,,12947,,3214,12,463,15233,3805
2015,5,3550308,Capital,83,84,1,1,39,2,83,,2142,1886,71,13,14,164,,,12196,,2843,4,395,14858,3587
2015,6,3550308,Capital,73,74,4,5,36,0,73,,2053,2040,77,7,7,162,,,11839,,2596,7,323,15005,3305
2015,7,3550308,Capital,69,75,1,1,28,2,73,,2097,1842,68,6,7,189,,,12679,,2796,7,339,15371,3643
2015,8,3550308,Capital,67,69,2,2,36,1,99,,2445,1862,71,10,10,176,,,12489,,2770,8,307,14450,3763
2015,9,3550308,Capital,78,82,2,2,21,2,87,,2522,1703,76,9,9,170,,,12489,,2957,6,370,14316,3667
2015,10,3550308,Capital,69,73,1,1,35,1,94,,2524,1645,91,14,14,184,,,13719,,3404,5,417,15569,3815
2015,11,3550308,Capital,81,83,2,2,33,1,81,,2527,1490,74,12,13,174,,,13854,,3437,3,459,15006,3876
2015,12,3550308,Capital,97,106,3,4,29,1,91,,2634,1465,66,9,10,160,,,12728,,3879,5,515,14847,2653
